Date : 2021-05-11 23:02:47
Directory : ./
Total : 764 files,  103643 codes, 40894 comments, 28426 blanks, all 172963 lines, 28.29% comment rate

Languages
+------------------+------------+------------+------------+------------+------------+--------------+
| language         | files      | code       | comment    | blank      | total      | comment rate |
| third-party/vectornav/include/vn/util.h                                           | C++              |         53 |        176 |         45 |        274 |       76.86% |
| third-party/vectornav/include/vn/util/compiler.h                                  | C++              |         25 |          6 |          7 |         38 |       19.35% |
| third-party/vectornav/include/vn/util/export.h                                    | C++              |         12 |          2 |          3 |         17 |       14.29% |
| third-party/vectornav/include/vn/util/port.h                                      | C++              |         13 |          2 |          5 |         20 |       13.33% |
| third-party/vectornav/include/vn/vectornav.h                                      | C++              |          7 |          0 |          3 |         10 |        0.00% |
| third-party/vectornav/include/vn/xplat/criticalsection.h                          | C++              |         39 |         23 |         16 |         78 |       37.10% |
| third-party/vectornav/include/vn/xplat/event.h                                    | C++              |         44 |         38 |         17 |         99 |       46.34% |
| third-party/vectornav/include/vn/xplat/serialport.h                               | C++              |         67 |         50 |         33 |        150 |       42.74% |
| third-party/vectornav/include/vn/xplat/thread.h                                   | C++              |         42 |         28 |         18 |         88 |       40.00% |
| third-party/vectornav/include/vn/xplat/time.h                                     | C++              |         38 |         22 |         14 |         74 |       36.67% |
| third-party/vectornav/src/vn/conv.c                                               | C                |         65 |          0 |         17 |         82 |        0.00% |
| third-party/vectornav/src/vn/error.c                                              | C                |         93 |          3 |          5 |        101 |        3.13% |
| third-party/vectornav/src/vn/error_detection.c                                    | C                |         25 |          0 |          8 |         33 |        0.00% |
| third-party/vectornav/src/vn/math/matrix.c                                        | C                |         37 |         71 |         16 |        124 |       65.74% |
| third-party/vectornav/src/vn/math/vector.c                                        | C                |         85 |          3 |         31 |        119 |        3.41% |
| third-party/vectornav/src/vn/protocol/spi.c                                       | C                |      2,339 |         11 |        562 |      2,912 |        0.47% |
| third-party/vectornav/src/vn/protocol/upack.c                                     | C                |      4,066 |         73 |        640 |      4,779 |        1.76% |
| third-party/vectornav/src/vn/protocol/upackf.c                                    | C                |        320 |         42 |         74 |        436 |       11.60% |
| third-party/vectornav/src/vn/sensors.c                                            | C                |      2,578 |         97 |        606 |      3,281 |        3.63% |
| third-party/vectornav/src/vn/sensors/compositedata.c                              | C                |        582 |         24 |        158 |        764 |        3.96% |
| third-party/vectornav/src/vn/sensors/ezasyncdata.c                                | C                |         67 |          1 |         27 |         95 |        1.47% |
| third-party/vectornav/src/vn/sensors/searcher.c                                   | C                |        347 |        112 |        106 |        565 |       24.40% |
| third-party/vectornav/src/vn/util.c                                               | C                |        301 |         10 |         81 |        392 |        3.22% |
| third-party/vectornav/src/vn/xplat/criticalsection.c                              | C                |         49 |          0 |         25 |         74 |        0.00% |
| third-party/vectornav/src/vn/xplat/event.c                                        | C                |        164 |          3 |         73 |        240 |        1.80% |
| third-party/vectornav/src/vn/xplat/serialport.c                                   | C                |        556 |         25 |        182 |        763 |        4.30% |
| third-party/vectornav/src/vn/xplat/thread.c                                       | C                |        114 |          2 |         42 |        158 |        1.72% |
| third-party/vectornav/src/vn/xplat/time.c                                         | C                |         82 |          6 |         42 |        130 |        6.82% |
| user/Example_Leg_InvDyn/Leg_InvDyn_Controller.cpp                                 | C++              |         67 |         15 |         25 |        107 |       18.29% |
| user/Example_Leg_InvDyn/Leg_InvDyn_Controller.hpp                                 | C++              |         19 |          0 |          5 |         24 |        0.00% |
| user/Example_Leg_InvDyn/Leg_InvDyn_UserParameters.h                               | C++              |         12 |          0 |          5 |         17 |        0.00% |
| user/Example_Leg_InvDyn/main.cpp                                                  | C++              |          6 |          7 |          3 |         16 |       53.85% |
| user/JPos_Controller/JPosUserParameters.h                                         | C++              |         20 |          0 |          5 |         25 |        0.00% |
| user/JPos_Controller/JPos_Controller.cpp                                          | C++              |         37 |          5 |         13 |         55 |       11.90% |
| user/JPos_Controller/JPos_Controller.hpp                                          | C++              |         21 |          0 |          5 |         26 |        0.00% |
| user/JPos_Controller/main.cpp                                                     | C++              |          6 |          7 |          3 |         16 |       53.85% |
| user/MIT_Controller/Controllers/BackFlip/BackFlipCtrl.cpp                         | C++              |        117 |         17 |         37 |        171 |       12.69% |
| user/MIT_Controller/Controllers/BackFlip/BackFlipCtrl.hpp                         | C++              |         16 |          0 |          7 |         23 |        0.00% |
| user/MIT_Controller/Controllers/BackFlip/DataReadCtrl.hpp                         | C++              |         74 |          2 |         21 |         97 |        2.63% |
| user/MIT_Controller/Controllers/BackFlip/DataReader.cpp                           | C++              |         84 |          6 |         18 |        108 |        6.67% |
| user/MIT_Controller/Controllers/BackFlip/DataReader.hpp                           | C++              |         26 |          0 |          7 |         33 |        0.00% |
| user/MIT_Controller/Controllers/BackFlip/FrontJumpCtrl.cpp                        | C++              |        162 |         45 |         54 |        261 |       21.74% |
| user/MIT_Controller/Controllers/BackFlip/FrontJumpCtrl.hpp                        | C++              |         16 |          0 |          6 |         22 |        0.00% |
| user/MIT_Controller/Controllers/BalanceController/BalanceController.cpp           | C++              |        543 |         89 |        138 |        770 |       14.08% |
| user/MIT_Controller/Controllers/BalanceController/BalanceController.hpp           | C++              |        158 |         36 |         55 |        249 |       18.56% |
| user/MIT_Controller/Controllers/BalanceController/BalanceControllerVBL.cpp        | C++              |        577 |         73 |        150 |        800 |       11.23% |
| user/MIT_Controller/Controllers/BalanceController/BalanceControllerVBL.hpp        | C++              |        160 |         34 |         47 |        241 |       17.53% |
| user/MIT_Controller/Controllers/BalanceController/BalanceControllerWrapper.cpp    | C++              |         76 |          0 |         21 |         97 |        0.00% |
| user/MIT_Controller/Controllers/BalanceController/BalanceControllerWrapper.h      | C++              |         32 |          0 |          6 |         38 |        0.00% |
| user/MIT_Controller/Controllers/BalanceController/ReferenceGRF.cpp                | C++              |        195 |         42 |         69 |        306 |       17.72% |
| user/MIT_Controller/Controllers/BalanceController/ReferenceGRF.hpp                | C++              |         84 |         26 |         28 |        138 |       23.64% |
| user/MIT_Controller/Controllers/VisionMPC/VisionMPCLocomotion.cpp                 | C++              |        432 |         32 |        112 |        576 |        6.90% |
| user/MIT_Controller/Controllers/VisionMPC/VisionMPCLocomotion.h                   | C++              |         83 |          0 |         25 |        108 |        0.00% |
| user/MIT_Controller/Controllers/VisionMPC/VisionMPC_interface.cpp                 | C++              |         80 |          7 |         19 |        106 |        8.05% |
| user/MIT_Controller/Controllers/VisionMPC/VisionMPC_interface.h                   | C++              |         39 |          0 |          7 |         46 |        0.00% |
| user/MIT_Controller/Controllers/VisionMPC/VisionRobotState.cpp                    | C++              |         39 |          4 |         12 |         55 |        9.30% |
| user/MIT_Controller/Controllers/VisionMPC/VisionRobotState.h                      | C++              |         21 |          2 |          4 |         27 |        8.70% |
| user/MIT_Controller/Controllers/VisionMPC/VisionSolverMPC.cpp                     | C++              |        368 |         17 |         82 |        467 |        4.42% |
| user/MIT_Controller/Controllers/VisionMPC/VisionSolverMPC.h                       | C++              |         26 |          0 |          9 |         35 |        0.00% |
| user/MIT_Controller/Controllers/WBC/ContactSpec.hpp                               | C++              |         45 |          0 |         11 |         56 |        0.00% |
| user/MIT_Controller/Controllers/WBC/Task.hpp                                      | C++              |         49 |          4 |         14 |         67 |        7.55% |
| user/MIT_Controller/Controllers/WBC/WBC.hpp                                       | C++              |         43 |          3 |         14 |         60 |        6.52% |
| user/MIT_Controller/Controllers/WBC/WBIC/KinWBC.cpp                               | C++              |         70 |          4 |         18 |         92 |        5.41% |
| user/MIT_Controller/Controllers/WBC/WBIC/KinWBC.hpp                               | C++              |         24 |          0 |          7 |         31 |        0.00% |
| user/MIT_Controller/Controllers/WBC/WBIC/WBIC.cpp                                 | C++              |        196 |         74 |         52 |        322 |       27.41% |
| user/MIT_Controller/Controllers/WBC/WBIC/WBIC.hpp                                 | C++              |         67 |          5 |         24 |         96 |        6.94% |
| user/MIT_Controller/Controllers/WBC_Ctrl/ContactSet/FixedBodyContact.cpp          | C++              |         30 |          0 |          9 |         39 |        0.00% |
| user/MIT_Controller/Controllers/WBC_Ctrl/ContactSet/FixedBodyContact.hpp          | C++              |         15 |          0 |          5 |         20 |        0.00% |
| user/MIT_Controller/Controllers/WBC_Ctrl/ContactSet/SingleContact.cpp             | C++              |         46 |          9 |         15 |         70 |       16.36% |
| user/MIT_Controller/Controllers/WBC_Ctrl/ContactSet/SingleContact.hpp             | C++              |         22 |          0 |          8 |         30 |        0.00% |
| user/MIT_Controller/Controllers/WBC_Ctrl/LocomotionCtrl/LocomotionCtrl.cpp        | C++              |        169 |         12 |         50 |        231 |        6.63% |
| user/MIT_Controller/Controllers/WBC_Ctrl/LocomotionCtrl/LocomotionCtrl.hpp        | C++              |         39 |          0 |         15 |         54 |        0.00% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/BodyOriTask.cpp                  | C++              |         59 |         17 |         17 |         93 |       22.37% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/BodyOriTask.hpp                  | C++              |         23 |          4 |          7 |         34 |       14.81% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/BodyPosTask.cpp                  | C++              |         49 |         18 |         14 |         81 |       26.87% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/BodyPosTask.hpp                  | C++              |         20 |          4 |          8 |         32 |       16.67% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/BodyPostureTask.cpp              | C++              |         68 |         15 |         20 |        103 |       18.07% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/BodyPostureTask.hpp              | C++              |         20 |          4 |          8 |         32 |       16.67% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/BodyRyRzTask.cpp                 | C++              |         55 |         15 |         17 |         87 |       21.43% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/BodyRyRzTask.hpp                 | C++              |         23 |          4 |          7 |         34 |       14.81% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/JPosTask.cpp                     | C++              |         41 |          3 |         11 |         55 |        6.82% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/JPosTask.hpp                     | C++              |         20 |          3 |          7 |         30 |       13.04% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/LinkPosTask.cpp                  | C++              |         54 |         11 |         13 |         78 |       16.92% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/LinkPosTask.hpp                  | C++              |         23 |          4 |          8 |         35 |       14.81% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/LocalHeadPosTask.cpp             | C++              |         54 |         11 |         15 |         80 |       16.92% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/LocalHeadPosTask.hpp             | C++              |         22 |          3 |          8 |         33 |       12.00% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/LocalPosTask.cpp                 | C++              |         53 |         14 |         13 |         80 |       20.90% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/LocalPosTask.hpp                 | C++              |         23 |          4 |          8 |         35 |       14.81% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/LocalRollTask.cpp                | C++              |         42 |         10 |         14 |         66 |       19.23% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/LocalRollTask.hpp                | C++              |         22 |          4 |          7 |         33 |       15.38% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/LocalTailPosTask.cpp             | C++              |         54 |         13 |         15 |         82 |       19.40% |
| user/MIT_Controller/Controllers/WBC_Ctrl/TaskSet/LocalTailPosTask.hpp             | C++              |         22 |          3 |          8 |         33 |       12.00% |
| user/MIT_Controller/Controllers/WBC_Ctrl/WBC_Ctrl.cpp                             | C++              |        107 |         29 |         38 |        174 |       21.32% |
| user/MIT_Controller/Controllers/WBC_Ctrl/WBC_Ctrl.hpp                             | C++              |         52 |          1 |         16 |         69 |        1.89% |
| user/MIT_Controller/Controllers/convexMPC/ConvexMPCLocomotion.cpp                 | C++              |        504 |         75 |        126 |        705 |       12.95% |
| user/MIT_Controller/Controllers/convexMPC/ConvexMPCLocomotion.h                   | C++              |        128 |          6 |         36 |        170 |        4.48% |
| user/MIT_Controller/Controllers/convexMPC/Gait.cpp                                | C++              |        155 |         15 |         43 |        213 |        8.82% |
| user/MIT_Controller/Controllers/convexMPC/Gait.h                                  | C++              |         66 |          0 |         15 |         81 |        0.00% |
| user/MIT_Controller/Controllers/convexMPC/RobotState.cpp                          | C++              |         39 |          4 |         12 |         55 |        9.30% |
| user/MIT_Controller/Controllers/convexMPC/RobotState.h                            | C++              |         22 |          3 |          4 |         29 |       12.00% |
| user/MIT_Controller/Controllers/convexMPC/SolverMPC.cpp                           | C++              |        485 |         29 |        114 |        628 |        5.64% |
| user/MIT_Controller/Controllers/convexMPC/SolverMPC.h                             | C++              |         50 |          1 |         12 |         63 |        1.96% |
| user/MIT_Controller/Controllers/convexMPC/common_types.h                          | C++              |         18 |          5 |          7 |         30 |       21.74% |
| user/MIT_Controller/Controllers/convexMPC/convexMPC_interface.cpp                 | C++              |        114 |         13 |         23 |        150 |       10.24% |
| user/MIT_Controller/Controllers/convexMPC/convexMPC_interface.h                   | C++              |         42 |          1 |          6 |         49 |        2.33% |
| user/MIT_Controller/Controllers/convexMPC/convexMPC_util.cpp                      | C++              |          1 |          0 |          1 |          2 |        0.00% |
| user/MIT_Controller/Controllers/convexMPC/convexMPC_util.h                        | C++              |          5 |          0 |          3 |          8 |        0.00% |
| user/MIT_Controller/FSM_States/ControlFSM.cpp                                     | C++              |        178 |        109 |         61 |        348 |       37.98% |
| user/MIT_Controller/FSM_States/ControlFSM.h                                       | C++              |         65 |         29 |         27 |        121 |       30.85% |
| user/MIT_Controller/FSM_States/ControlFSMData.h                                   | C++              |         23 |          4 |          4 |         31 |       14.81% |
| user/MIT_Controller/FSM_States/FSM_State.cpp                                      | C++              |        155 |        127 |         40 |        322 |       45.04% |
| user/MIT_Controller/FSM_States/FSM_State.h                                        | C++              |         79 |         29 |         29 |        137 |       26.85% |
| user/MIT_Controller/FSM_States/FSM_State_BackFlip.cpp                             | C++              |        154 |         56 |         52 |        262 |       26.67% |
| user/MIT_Controller/FSM_States/FSM_State_BackFlip.h                               | C++              |         42 |         10 |         19 |         71 |       19.23% |
| user/MIT_Controller/FSM_States/FSM_State_BalanceStand.cpp                         | C++              |        143 |         77 |         49 |        269 |       35.00% |
| user/MIT_Controller/FSM_States/FSM_State_BalanceStand.h                           | C++              |         26 |         10 |         15 |         51 |       27.78% |
| user/MIT_Controller/FSM_States/FSM_State_FrontJump.cpp                            | C++              |        155 |         56 |         49 |        260 |       26.54% |
| user/MIT_Controller/FSM_States/FSM_State_FrontJump.h                              | C++              |         42 |         10 |         19 |         71 |       19.23% |
| user/MIT_Controller/FSM_States/FSM_State_ImpedanceControl.cpp                     | C++              |         41 |         42 |         15 |         98 |       50.60% |
| user/MIT_Controller/FSM_States/FSM_State_ImpedanceControl.h                       | C++              |         17 |          9 |         10 |         36 |       34.62% |
| user/MIT_Controller/FSM_States/FSM_State_JointPD.cpp                              | C++              |         96 |         48 |         37 |        181 |       33.33% |
| user/MIT_Controller/FSM_States/FSM_State_JointPD.h                                | C++              |         18 |          9 |         10 |         37 |       33.33% |
| user/MIT_Controller/FSM_States/FSM_State_Locomotion.cpp                           | C++              |        184 |         64 |         58 |        306 |       25.81% |
| user/MIT_Controller/FSM_States/FSM_State_Locomotion.h                             | C++              |         26 |         11 |         13 |         50 |       29.73% |
| user/MIT_Controller/FSM_States/FSM_State_Passive.cpp                              | C++              |         54 |         51 |         19 |        124 |       48.57% |
| user/MIT_Controller/FSM_States/FSM_State_Passive.h                                | C++              |         17 |          9 |         11 |         37 |       34.62% |
| user/MIT_Controller/FSM_States/FSM_State_RecoveryStand.cpp                        | C++              |        197 |         69 |         54 |        320 |       25.94% |
| user/MIT_Controller/FSM_States/FSM_State_RecoveryStand.h                          | C++              |         42 |         20 |         24 |         86 |       32.26% |
| user/MIT_Controller/FSM_States/FSM_State_StandUp.cpp                              | C++              |         84 |         41 |         30 |        155 |       32.80% |
| user/MIT_Controller/FSM_States/FSM_State_StandUp.h                                | C++              |         18 |          9 |         11 |         38 |       33.33% |
| user/MIT_Controller/FSM_States/FSM_State_Vision.cpp                               | C++              |        304 |         76 |         79 |        459 |       20.00% |
| user/MIT_Controller/FSM_States/FSM_State_Vision.h                                 | C++              |         60 |          9 |         20 |         89 |       13.04% |
| user/MIT_Controller/FSM_States/SafetyChecker.cpp                                  | C++              |        161 |         41 |         24 |        226 |       20.30% |
| user/MIT_Controller/FSM_States/SafetyChecker.h                                    | C++              |         15 |          7 |          8 |         30 |       31.82% |
| user/MIT_Controller/FSM_States/TransitionData.h                                   | C++              |         32 |         14 |         11 |         57 |       30.43% |
| user/MIT_Controller/MIT_Controller.cpp                                            | C++              |         14 |         15 |         10 |         39 |       51.72% |
| user/MIT_Controller/MIT_Controller.hpp                                            | C++              |         24 |          2 |          9 |         35 |        7.69% |
| user/MIT_Controller/MIT_UserParameters.h                                          | C++              |        144 |          8 |         19 |        171 |        5.26% |
| user/MIT_Controller/main.cpp                                                      | C++              |          6 |          7 |          3 |         16 |       53.85% |
| user/MiniCheetahSpi_Controller/MiniCheetahSpi_Controller.cpp                      | C++              |         14 |          0 |          4 |         18 |        0.00% |
| user/MiniCheetahSpi_Controller/MiniCheetahSpi_Controller.h                        | C++              |         36 |          0 |          9 |         45 |        0.00% |
| user/MiniCheetahSpi_Controller/main.cpp                                           | C++              |          6 |          0 |          2 |          8 |        0.00% |
| Total                                                                             |                  |    103,643 |     40,894 |     28,426 |    172,963 |       28.29% |
+-----------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+--------------+
